,Project,LongName,Name,AD,CD,TCD,CLOC,TCLOC,PDA,TPDA,LLOC,LOC,TLOC,NG,TLLOC,TNA,TNG,TNM,TNOS,TNPM,NCL,ReuseRate,ReuseRate_lbl
480,log4j/log4j,org.apache.log4j.net,net,0.5066660000000001,-0.23912615137002913,-0.20219041519372183,-0.9604127579737336,-0.9877152380536512,-0.8743746525847693,-0.9799769646495968,-0.9768401973617964,-0.9707044855680407,-0.9882881082979161,-0.8565629228687415,-0.988924062663953,-0.9719242182150194,-0.9883503681723266,-0.9904498234741307,-0.9827692103384738,-0.9911201168092018,-0.9641657334826428,2.0,1
481,log4j/log4j,org.apache.log4j.nt,nt,-0.571428,-0.42461261492959546,-0.396681103428178,-0.9986554096310194,-0.9995827450523752,-0.9966648137854364,-0.9994684149906973,-0.9988128613750669,-0.998614350183239,-0.9994460387228014,-0.9972936400541272,-0.9994322631662987,-0.9993152248345126,-0.9997801956258929,-0.9991872190190749,-0.9994024003585598,-0.9992252450907357,-0.9977603583426652,0.0,0
482,log4j/log4j,org.apache.log4j.or,or,0.42857199999999995,0.11385418848764783,0.06633334891908937,-0.9945590994371483,-0.9977875784172452,-0.9888827126181212,-0.9975192699565872,-0.9984100821987503,-0.9972665596510888,-0.9983986583844915,-0.9972936400541272,-0.9987986283072572,-0.9995434832230085,-0.9997801956258929,-0.9990856213964593,-0.9980246011852393,-0.9990464554962901,-0.9932810750279956,0.0,0
483,log4j/log4j,org.apache.log4j.pattern,pattern,0.96875,0.08408086397604042,0.13670630886115598,-0.9419949968730457,-0.9819998156315348,-0.8599221789883269,-0.977673429609285,-0.982044528297887,-0.9688418087651816,-0.9875434390400426,-0.9215155615696887,-0.9914129803902684,-0.9790002282583885,-0.9936256731508957,-0.9919229890020573,-0.9885128068923159,-0.9924312405018028,-0.9171332586786114,1.0,0
484,log4j/log4j,org.apache.log4j.rewrite,rewrite,0.7391299999999981,-0.0465588010196164,-0.00027510675338349166,-0.9934021263289556,-0.9979525396756085,-0.9777654252362423,-0.9964560999379818,-0.9973713359019338,-0.9961534966835267,-0.9984622277113832,-0.9945872801082544,-0.9987428684396615,-0.9993152248345126,-0.9995603912517859,-0.9990348225851515,-0.9985226008864395,-0.9989272624333264,-0.9910414333706606,0.0,0
485,log4j/log4j,org.apache.log4j.spi,spi,0.717791999999998,0.16451965495713927,0.2210499074097232,-0.9597248280175109,-0.9875017587781223,-0.8443579766536965,-0.9751926995658723,-0.9893369512796188,-0.9797831420177484,-0.9919176141523485,-0.86468200270636,-0.9949005066544333,-0.9874457886327322,-0.9890097812946478,-0.9917705925681339,-0.994405803356518,-0.9907625376203105,-0.975363941769317,5.307617129104063,4
486,log4j/log4j,org.apache.log4j.varia,varia,0.48148199999999997,0.01921836467604021,0.06869513495997914,-0.9865853658536585,-0.9958371541271851,-0.9555308504724848,-0.9929121998759635,-0.995293843308301,-0.9923297089378199,-0.9969335367551794,-0.9675236806495264,-0.9977493289806842,-0.993837023510614,-0.9973623475107155,-0.997256864189378,-0.9976262014242792,-0.9971393664888704,-0.975363941769317,5.307617129104063,4
487,log4j/log4j,org.apache.log4j.xml,xml,0.5483879999999981,-0.3912698099941303,-0.36171971080082155,-0.9878674171357098,-0.9962350018679437,-0.9733185102834908,-0.9957473199255781,-0.9901001118242186,-0.9887330768997789,-0.9954956591231066,-0.9945872801082544,-0.9952654803332412,-0.9901848892946816,-0.9995603912517859,-0.9969520713215311,-0.991666804999917,-0.997735331803689,-0.9776035834266518,5.307617129104063,4
488,log4j/log4j,org.apache.log4j.or.jms,jms,0.333334,-0.2503344443453498,-0.21394280171762303,-0.99906191369606,-0.999708891897006,-0.9977765425236242,-0.9996456099937981,-0.9994382290435585,-0.9992352424508586,-0.9996942618087592,-1.0,-0.9997313388197664,-1.0,-1.0,-0.9998984023773844,-0.9994688003187198,-0.9998808069370363,-0.9977603583426652,0.0,0
489,log4j/log4j,org.apache.log4j.or.sax,sax,0.333334,-0.14176292095913445,-0.10010079998434163,-0.999249530956848,-0.9997671135176047,-0.9977765425236242,-0.9996456099937981,-0.9996396186317167,-0.9994926855862132,-0.9997971835761076,-1.0,-0.9998276513183407,-1.0,-1.0,-0.9998984023773844,-0.9997012001792799,-0.9998808069370363,-0.9977603583426652,0.0,0
490,org.apache.commons/commons-lang3,<root_package>,<root_package>,-1.0,-1.0,0.36569951600784023,-1.0,-0.5482293349635388,-1.0,-0.5414193319748383,-1.0,-1.0,-0.7609702495550147,-1.0,-0.8601897356221914,-0.8173932892033782,-0.9030662710187933,-0.8380533895506845,-0.7642967414219551,-0.8415328227897136,-1.0,0.0,0
491,org.apache.commons/commons-lang3,org,org,-1.0,-1.0,0.36569951600784023,-1.0,-0.5482293349635388,-1.0,-0.5414193319748383,-1.0,-1.0,-0.7609702495550147,-1.0,-0.8601897356221914,-0.8173932892033782,-0.9030662710187933,-0.8380533895506845,-0.7642967414219551,-0.8415328227897136,-1.0,0.0,0
492,org.apache.commons/commons-lang3,org.apache,apache,-1.0,-1.0,0.36569951600784023,-1.0,-0.5482293349635388,-1.0,-0.5414193319748383,-1.0,-1.0,-0.7609702495550147,-1.0,-0.8601897356221914,-0.8173932892033782,-0.9030662710187933,-0.8380533895506845,-0.7642967414219551,-0.8415328227897136,-1.0,0.0,0
493,org.apache.commons/commons-lang3,org.apache.commons,commons,-1.0,-1.0,0.36569951600784023,-1.0,-0.5482293349635388,-1.0,-0.5414193319748383,-1.0,-1.0,-0.7609702495550147,-1.0,-0.8601897356221914,-0.8173932892033782,-0.9030662710187933,-0.8380533895506845,-0.7642967414219551,-0.8415328227897136,-1.0,0.0,0
494,org.apache.commons/commons-lang3,org.apache.commons.lang3,lang3,0.9940659999999999,0.3622431519279552,0.36569951600784023,-0.3418073796122577,-0.5482293349635388,0.12062256809338523,-0.5414193319748383,-0.8834166273603654,-0.7445785504437108,-0.7609702495550147,-0.7970230040595399,-0.8601897356221914,-0.8173932892033782,-0.9030662710187933,-0.8380533895506845,-0.7642967414219551,-0.8415328227897136,-0.9014557670772676,0.0,0
